Sample name,Biosample ID,Universal_ID,Population elastic IDs,Population name,Population description,Superpopulation name,Population latitude,Population longitude,Color
HG01286,SAME1839176,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00629,SAME123086,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01414,SAME1839703,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00631,SAME1839060,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01433,SAME1839252,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG00636,SAME123711,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01438,SAME124971,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01312,SAME1839791,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01440,SAME123237,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01343,SAME124857,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01348,SAME124864,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01457,SAME123428,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01350,SAME124684,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01464,SAME122883,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01355,SAME124679,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01503,SAME124944,IBS,IBS,Iberian,Iberian populations in Spain,West Eurasia,40.38,-3.72,#0000FF
HG01362,SAME1839066,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01508,SAME124939,IBS,IBS,Iberian,Iberian populations in Spain,West Eurasia,40.38,-3.72,#0000FF
HG01367,SAME125266,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01510,SAME124771,IBS,IBS,Iberian,Iberian populations in Spain,West Eurasia,40.38,-3.72,#0000FF
HG01254,SAME125285,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01515,SAME124774,IBS,IBS,Iberian,Iberian populations in Spain,West Eurasia,40.38,-3.72,#0000FF
HG01259,SAME125280,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01522,SAME125321,IBS,IBS,Iberian,Iberian populations in Spain,West Eurasia,40.38,-3.72,#0000FF
HG01261,SAME122814,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01527,SAME125326,IBS,IBS,Iberian,Iberian populations in Spain,West Eurasia,40.38,-3.72,#0000FF
HG01273,SAME124046,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
